word,meaning
ụbaá,some are named after a person who habitually fishes there
ụbọọ́,"the person, the one"
ụdọ́ụ,termite-hill
ụdọ́ụ,termitary
ụdọ́ụ,ant-hill
ụfá,guinea-worm
ụfaá,thread used for weaving
bịdẹ ụfá,unravel threads
urúru ụfa,cotton thread
ụgbákà,dam
ụgbalá¹,"one of the tastiest fish, a general term for mormyrids including Marcusenius and Hyperopisus bebe MORMYRIDAE"
ụká,“native potash”
ụká,potash obtained from burnt plantain peelings and remains of oil- palm fruits after the nuts have been removed
ụkẹẹ́,final and culminating point in a series of events
ụkẹẹ́,climax
ụkẹẹ́,the worst and most agonizing stage of an event
ụkọ́ụ,triggered trap
ụkọ́ụ pịtẹ,fish with ụkọ́ụ
ụkpá¹,pale white cane-rope used in making sponges and atálei
ụkpá²,method of tying cloth short between legs so as to form loincloth
ụkpá²,ụkpá tụ̀a put on loincloth
ụkpán,"scarcity, shortage"
ụkpárụ̀,intermediate size of bullet
ụkpátụ̀,small bundle
ụkpátụ̀,"any size less than the normal bundle for special objects, e.g. yam stakes, cane-ropes, etc"
ụkpụ́kpà,wild mango stone with the seed inside
ụkpụ́kụ̀,used in
ụkpụ́rụ̀,a lump in fufu or starch
ụkpụ́rụ̀,"a swelling on the body,  along main veins, as a result of blood collecting or clotting"
ụkpụ́rụ̀ sẹlẹ,"be selective, discriminatory"
ụkụlọ́ụ̀,"bow of canoe, usu. árụ ụkụlọụ"
ụkụlọ́ụ-dàa-owei,man who stands at the bows of a dance-canoe to perform when it reaches a town
ụkụ́ọ,"bird, the osprey"
ụkụọbụ́tọ̀rụ,a medicinal herb
ụkụụ́,private parts
ụlaá¹,epiphytic tree or strangler
ụ́làlátà,worthless object
ụlụ́ma,catfish or mudfish
ụlụ́ma-ufou,"calf that is disproportionately shaped, which resembles an ụlụ́ma with eggs held upside-down"
ụlụmaá,small lift-screen
ụmaá,pus
ụmbaá,breath
ụngbará,shin
ụngbárà,baton
ụngbárà,club
ụngbẹẹ́,iron spike
ụngbọ́¹,nut of various trees
ụngọ́,money
ụngọ́,wealth
ụngọ́,‘brideprice’
ụngọ́warị,shop
ụngọ́warị,store
ụpụ́n¹,"shelter provided with the body and the hands in front of the body, usually for small children who run for protection in the face of danger"
ụráụ,sun
ụráụpaangà,east
ụráụsụọangà,west
ụsụ́n,shrew check
ụtabụ́,tree species check
ụtán,funnel-entrance trap
ụtán tụa,fish with ụtán
ụtụ́bụ̀ra,"male sitatunga, “antelope”"
Ụtụ́bụ̀ra wẹ́nị bụọ làla,"beni bóumì When the sitatunga cannot walk well, it drinks swamp water"
ụtụtụ́,a small water pot
ụwọ́ụ,path
ụwọ́ụ,route
ụwọ́ụ,way
ụwọ́ụ,road
ụwọ́ụ,passage
ụwọ́ụ,street
ụwọ́ụ,track
ụwọ́ụ fịnị ere/owei,first child that opens the womb
wán,“hare”
wán,Maxwell’s Duiker
wárịbọọ̀,door of house
wárịnamà,rat
wárịnamà,animal]
wẹ́nị³,mission
wẹ́nịbụọ,venture
wẹ́nịbụọ,encounter
wẹ́nịbụọ èbií,meet something good
wẹ́nịbụọ,be fortunate
wẹ́nịbụọ sèí,meet something bad
wẹ́nịbụọ,be unfortunate
wẹ́nịfịrị,work
wẹ́nịfịrị,occupation
wẹ́nịfịrị,orukụ́mọ̀ wẹnịyemifịrị traditional
wẹ́nịfịrịdịaye,timetable
wẹ́nịfịrịdịaye,work schedule
wíkì,week
wíkì-wíkì-gbẹ,weekly wages
woni,used in
Wóyenghi,God
Wóyenghi,Egberi the Word of God
Wóyenghi,the Christian Scriptures
wóyenghimịẹbara,nature
yábịbịdẹ̀,"cloth, pall, which covers a coffin and is later sent back to the town or quarter with which the dead person had yábị"
yábịtọbọ̀ụ,child standing in a yábị relationship to a family
yéfàá,zero
yenghí²,used in
yenghí³,"portion, part"
yenghibọọ́,mother
yenghizií,the closest relatives
yenghizií,the inner circle on both father’s and mother’s side
yenghizií,"hence, the first people to hear and solve problems affecting a particular person"
yétịbị,capital
yétịbị,principal
yétọnbara,measurement
yétọntọnyeama,standard units
yétọnye,unit measure
yétọnye,arbitrary
yingbá,gamble
yingbá,risky undertaking
yingbá,yingba teín
yingbá,"play games of chance for money, e.g. lottery for high stakes"
yingbá,take great risks to secure great results
Yóukọrị,personal name given when a child is born shortly after a death in the
Yóunyaị,New Year
Yóupẹlẹ,personal name given when a child is born shortly after a death in the family
yóuyaị,tears
Zarama-Epíè,a town in Zarámà ibe of Northern Nzọn
Zibaaraụ²,"chief female deity of certain ibe, e.g. Kólokùmá Zìbaaraụ, Opokumá Zìbaaraụ"
zibaụ́¹,oracle
zibaụ-bara-gbasa,ring finger
ziibení¹,amniotic fluid
ziibení²,costume worn after delivery involving camwood
ziibịdẹ́,dress for a newly-delivered woman
ziidirí,medicine to cause pregnancy
ziidịná,semen
zii-egbé,cervix
zii-eréin,day or date of birth ̣
ziifuróu,one’s own child
zii-ifíè,time of birth
zii-ịgbáàma,reproductive organs
Ziikí-àlá,personal name
Ziikí-èré,personal name
Ziikí-ìyé,personal name
ziikụráị,year of birth
ziimọ-eré,midwife
ziimọyé,delivery fee
zii-ovírì,labour during childbirth
zii-ọbụ́gụ̀,womb
zii-ọbụ́gụ̀,ovary
zii-ọgọ́nèi,month of birth
Ziipaamọ́-ère,female personal name
Ziipaamọ́-òwei,male personal name
ziitirí,place where baby is born
ziituú,part of body between nipples and pubic area
zii-ugé,ceremony for the birth of a child
Zii-ugé,personal name
ziiyọọ́,place where baby is born
zorú²,game
zorú²,performance
Zụọ-owéí,Saviour
