word,part_of_speech,meaning,example,meaning_original,original_meaning
angá²,n.,place,,side; place; spot; (tech.) plane; face (of figure),place
angá²,n.,spot,,side; place; spot; (tech.) plane; face (of figure),spot
angá²,n.,plane,,side; place; spot; (tech.) plane; face (of figure),plane
angá²,n.,face,,side; place; spot; (tech.) plane; face (of figure),face
angaá,n.,egg,,"egg; roe (of fish); berry (of shrimp, etc.)",egg
angaá,n.,roe,,"egg; roe (of fish); berry (of shrimp, etc.)",roe
angaá,n.,berry,,"egg; roe (of fish); berry (of shrimp, etc.)",berry
angábọlọụ,n.,name given to the internal part of the body behind the ribs,,name given to the internal part of the body behind the ribs,name given to the internal part of the body behind the ribs
angála¹,n.,charcoal,,charcoal,charcoal
angásaraị,n.,side of ribs,,side of ribs,side of ribs
apálà,n.,slap,,slap; apálà famụ (give a) slap,slap
apapátùo,n.,herb,,herb (Desmodium adscendens (Sw.) DC LEGUMINOSAE- PAPILIONIOIDEAE) [‘groundnut-herb’],herb
apatímà,n.,simpleton,,m.f. simpleton,simpleton
apíe-ẹngẹlẹị,n.,the remains after preparing the cane-rope for use,,the remains after preparing the cane-rope for use,the remains after preparing the cane-rope for use
apíe-furou,n.,pith removed from apíe cane- rope,,"pith removed from apíe cane- rope, used inside pot before boiling Nzọ́n- odu overnight, to prevent it sticking to the pot",pith removed from apíe cane- rope
apolóu,n.,shoulder,,shoulder,shoulder
apóo,n.,scoop for bailing canoe,,"scoop for bailing canoe (made of plantain stem, etc.) ápùló see ápìlé",scoop for bailing canoe
árigidi,n.,Kano cloth,,"Kano cloth; handwoven cloth from the North, used as “cover-cloth” or worn over shoulder",Kano cloth
árigidi,n.,"handwoven cloth from the North, used as “cover-cloth” or worn over shoulder",,"Kano cloth; handwoven cloth from the North, used as “cover-cloth” or worn over shoulder","handwoven cloth from the North, used as “cover-cloth” or worn over shoulder"
árụ,n.,canoe,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",canoe
árụ,n.,boat,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",boat
árụ,n.,vehicle,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",vehicle
árụ zuu,n.,unload canoe,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",unload canoe
bálà-arụ,n.,sailing boat,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",sailing boat
árụ,n.,canoe with sail,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",canoe with sail
beké-àrụ ,n.,"European boat, ship","Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading","European boat, ship"
dụ́wẹị-arụ,n.,canoe carrying corpse,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",canoe carrying corpse
fin-arụ́,n.,aeroplane,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",aeroplane
Igbon- arụ/Ikétè-arụ ,n.,Northern canoe with rounded woven roof,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",Northern canoe with rounded woven roof
ofóni-arụ,n.,canoe with thatch or zinc roof on top,"Árụzàụ bará zàụ bará, tára ukou However small a canoe is, it must have three seats: Tẹ́ịn arụ̀ nimi kọ́rì ḳ áamị (said when someone finds that a person who has suffered a loss or injury finds out that the person responsible is a relative or friend, and lets him go free).","canoe; boat; vehicle; árụ beni sin bail water out of a canoe; árụ akị bring home unfinished canoe from the bush; árụ igbe moor canoe; árụ kiri kọrì ̣(of canoe) go aground; árụ zuu unload canoe; bálà-arụ sailing boat; canoe with sail; beké-àrụ European boat, ship; dụ́wẹị-arụ canoe carrying corpse; fin-arụ́ aeroplane; Igbon- arụ/Ikétè-arụ Northern canoe with rounded woven roof; ofóni-arụ canoe with thatch or zinc roof on top; óru-arụ sacrificial canoe with music and dancing; ọkọ-arụ́ canoe used for hiring out; ọmụ́ụ- arụ war-canoe; sẹ́ị-arụ dance-canoe; tára- ukou àrụ three-seat canoe; [what of 4-seat canoe??] tọ́rụ-yọụ-arụ canoe used for trading",canoe with thatch or zinc roof on top
